file,model,language,strategy,retries,num_comp,temp,status,quality
1180.ts,codex,ts,tree,1,10,0.8,failure,NA
1299.ts,codex,ts,tree,1,10,0.8,failure,NA
918.ts,codex,ts,tree,1,10,0.8,failure,NA
544.ts,codex,ts,tree,1,10,0.8,failure,NA
1713.ts,codex,ts,tree,1,10,0.8,success,0
1706.ts,codex,ts,tree,1,10,0.8,success,0
374.ts,codex,ts,tree,1,10,0.8,failure,NA
765.ts,codex,ts,tree,1,10,0.8,failure,NA
369.ts,codex,ts,tree,1,10,0.8,success,5
914.ts,codex,ts,tree,1,10,0.8,failure,NA
1489.ts,codex,ts,tree,1,10,0.8,failure,NA
785.ts,codex,ts,tree,1,10,0.8,failure,NA
821.ts,codex,ts,tree,1,10,0.8,failure,NA
9.ts,codex,ts,tree,1,10,0.8,failure,NA
843.ts,codex,ts,tree,1,10,0.8,timeout,NA
447.ts,codex,ts,tree,1,10,0.8,failure,NA
1217.ts,codex,ts,tree,1,10,0.8,success,0
1765.ts,codex,ts,tree,1,10,0.8,failure,NA
1720.ts,codex,ts,tree,1,10,0.8,failure,NA
1083.ts,codex,ts,tree,1,10,0.8,success,80
